int.slv.Family,int.slv.Genus,int.slv.Species,int.slv.cnf,int.slv.lws.txn,int.slv.lws.lvl,AA2 T0 ,AA2 T3 355,AA2 T3 765,AA2 T7 355,AA2 T7 765,AA3 T3 355,AA3 T3 765,AA3 T6 355,AA3 T6 765
Yersiniaceae,Unassigned,Unassigned,0.877077376,Yersiniaceae,Family,0,0,0,0,0,0,0,0,0
Clostridiaceae,Clostridium_sensu_stricto_11,Clostridium_sp.,0.997814344,Clostridium_sp.,Species,0,0,0.011334753,0.009609827,0,0,0,0,0
Aminicenantales,Aminicenantales,Aminicenantes_bacterium,0.967354204,Aminicenantes_bacterium,Species,0,0,0,0,0,0,0,0,0
Clostridiaceae,Clostridium_sensu_stricto_12,Unassigned,0.941623111,Clostridium_sensu_stricto_12,Genus,0,0,0,0,0,0,0,0.002873966,0
Clostridiaceae,Clostridium_sensu_stricto_12,uncultured_bacterium,0.786663894,Clostridium_sensu_stricto_12,Genus,0.000332751,0,0,0.001083815,0,0,0,0,0
Clostridiaceae,Clostridium_sensu_stricto_13,Clostridium_subterminale,0.791587542,Clostridium_subterminale,Species,0,0,0,0,0,0,0,0,0
Clostridiaceae,Clostridium_sensu_stricto_12,Unassigned,0.997268629,Clostridium_sensu_stricto_12,Genus,0,0,0,0,0,0,0,0,0
Clostridiaceae,Clostridium_sensu_stricto_13,Unassigned,0.989176139,Clostridium_sensu_stricto_13,Genus,0.000249563,0,0,0,0,0,0.0001386,0,0.000318776
Selenomonadaceae,uncultured,uncultured_organism,0.883369949,Selenomonadaceae,Family,0,0,0,0,0,0,0,0,0
Oscillospiraceae,Colidextribacter,uncultured_Clostridia,0.99807197,Colidextribacter,Genus,0,0,0,0,0,0,0,0,0
Spirochaetaceae,uncultured,uncultured_prokaryote,0.999952917,Spirochaetaceae,Family,0,0,0,0,0,0.000264936,0.0002772,0.000350484,0
Comamonadaceae,Comamonas,Unassigned,0.921555434,Comamonas,Genus,0,0,0,0,0,0,0,0,0
Defluviitaleaceae,Defluviitalea,uncultured_bacterium,0.962218386,Defluviitalea,Genus,0,0,0,0,0,0,0,0,0
Desulfatiglandaceae,Desulfatiglans,Unassigned,0.999990018,Desulfatiglans,Genus,0,0,0,0,0,0,0,0,0
Butyricicoccaceae,UCG-009,bacterium_NLAE-zl-C231,0.824595722,bacterium_NLAE-zl-C231,Species,0,0,0,0,0,0,0,0,0
Caloramatoraceae,uncultured,uncultured_Caloramator,0.984357317,Caloramatoraceae,Family,0,0,0,0,0,0,0,0,0
Desulfomonilaceae,Desulfomonile,Unassigned,0.999999424,Desulfomonile,Genus,0,0,0,0,0,0.00022078,0,0,0
Oxalobacteraceae,Duganella,Unassigned,0.966612928,Duganella,Genus,0,0,0,0,0,0,0,0,0
Dysgonomonadaceae,Dysgonomonas,Unassigned,1,Dysgonomonas,Genus,0,0,0,0,0,0,0,0,0
uncultured,uncultured,Unassigned,0.999965337,Anaerolineae,Class,0,0,0,0,0,0,0,0,0
Lachnospiraceae,Lachnoclostridium,Clostridium_sp.,0.846000614,Clostridium_sp.,Species,0,0,0,0,0,0,0,0,0
Enterococcaceae,Enterococcus,Unassigned,0.996427603,Enterococcus,Genus,0,0,0,0,0,0.001412991,0,0.001331838,0
